Tanggal,Curah_hujan
01.01.2017,65.3
01.02.2017,199.3
01.03.2017,389.3
01.04.2017,220.2
01.05.2017,222.3
01.06.2017,106.4
01.07.2017,39.1
01.08.2017,48.4
01.09.2017,90.8
01.10.2017,345.3
01.11.2017,442.2
01.12.2017,129.9
01.01.2018,191
01.02.2018,239.3
01.03.2018,292
01.04.2018,297.6
01.05.2018,123.9
01.06.2018,33.4
01.07.2018,0.3
01.08.2018,38.9
01.09.2018,40.8
01.10.2018,124.8
01.11.2018,483.2
01.12.2018,323.5
01.01.2019,231.6
01.02.2019,269.1
01.03.2019,222.7
01.04.2019,298.9
01.05.2019,245.7
01.06.2019,26.5
01.07.2019,13.4
01.08.2019,0.2
01.09.2019,55
01.10.2019,84.2
01.11.2019,270.7
01.12.2019,313.5
01.01.2020,207.6
01.02.2020,337
01.03.2020,291
01.04.2020,271
01.05.2020,292
01.06.2020,30
01.07.2020,64
01.08.2020,42
01.09.2020,88
01.10.2020,327
01.11.2020,207
01.12.2020,262
01.01.2021,146.4
01.02.2021,153.9
01.03.2021,292.5
01.04.2021,177.3
01.05.2021,239
01.06.2021,92.4
01.07.2021,33.2
01.08.2021,91.8
01.09.2021,73
01.10.2021,218.4
01.11.2021,454.3
01.12.2021,198.5
01.01.2022,59.5
01.02.2022,117.1
01.03.2022,238.9
01.04.2022,336.2
01.05.2022,146.9
01.06.2022,150.6
01.07.2022,98.5
01.08.2022,29.9
01.09.2022,182.2
01.10.2022,366.7
01.11.2022,307.2
01.12.2022,277.7
